Affenpinscher,"The Affenpinscher should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The Affenpinscher 's medium-length, wiry coat should be groomed twice a week, first with a brush and then with a metal comb. Any mats should be pulled apart with the fingers. The hair on the head is usually brushed forward over the face, and then an inverted V-shape is cut to expose the eyes. Similarly, the hair on the bridge of the nose is trimmed into a fan shape to keep the eyes clear. The Affen 's coat does not grow quickly, so a trimming a pet Affen every few months should suffice. The breed 's national parent club, the Affenpinscher Club of America, provides a detailed grooming guide. Affens should also have their nails trimmed and their teeth brushed regularly.","One of the attractions of the toy breeds is that their small size makes them ideal apartment dogs. While Affenpinschers can be perfectly happy living in close quarters, the breed is classified as ?œmoderately active,??and as such, they do need exercise. Indoor play, both with his owner and just between himself and a toy, can be enough to make up a large chunk of an Affen 's exercise regimen. Even so, a brisk walk once or twice a day is required. In addition to providing exercise, these walks give the Affen a chance to socialize both with people and other dogs.","Affenpinschers are courageous, bold, and often feisty. Basic obedience training is recommended. The breed has an undeserved reputation as being difficult to train because Affenpinschers are independent minded and can be stubborn. The key is that they are very intelligent and generally eager to please the humans they have bonded with. Keep in mind that they are easily bored and tend to lose interest during long training sessions. Shorter, more frequent sessions with a trainer who has experience working with toy breeds are usually quite successful.","Affenpinschers are generally healthy dogs, and responsible breeders will screen their stock for health conditions such as luxating patella, heart anomalies, vision problems, and hip dysplasia. Like other shorter-faced breeds, Affens can experience breathing problems during hot weather if they are permitted to overheat and then have difficulty panting in order to lower their body temperature, as dogs don 't sweat to keep cool.",,,
Afghan Hound,"The Afghan Hound should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). As sight hounds, Afghan Hounds have naturally svelte physiques, and their protruding hipbones are a unique breed characteristic, not a sign of being underweight. That said, Afghan Hounds are athletic, active dogs, so be mindful that your dog is getting enough good nutrition to meet his needs. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","Afghan puppies have short, fuzzy coats (including adorable facial hair called ?œmonkey whiskers?? that require little maintenance. They don 't stay that way for long, however. As is to be expected, the long, silky coat of an adolescent or adult Afghan requires regular grooming. Several hours per week of brushing are needed to keep the hair free of tangles and mats, as well as to remove any debris. Keeping the hair clean and mat-free is the key to keeping the Afghan 's glorious coat looking its best. Regular bathing, with shampoo and conditioner, is also required. Like all breeds, Afghans should have their nails trimmed and their teeth brushed regularly.","Because Afghans are sighthounds, bred to hunt and chase prey by sight, they will have a strong instinct to run off in pursuit of perceived prey; walking off leash is not advisable. Short walks do not provide enough exercise for this athletic breed, and some owners take their leashed Afghans on long runs once they reach maturity. Ideally, an Afghan should have the opportunity to run full out several times a week in a large, enclosed area. Afghans are tall, lean, and strong, which makes them excellent jumpers, so their exercise area must have a high, secure fence.","Afghans are independent, dignified, and aloof in general, but they are affectionate and extremely loyal to humans they have bonded with. This loyalty can make it difficult for an adult Afghan to adjust to a new home. On the other hand, it can make them fairly easy to housetrain, because they want to please their owners. Unless obedience or agility competition is a goal, teaching basic commands such as come, sit, and stay is generally sufficient. Afghan Hound owners are often quick to point out that no amount of training will overcome the breed 's hunting instinct to break off on a high-speed chase.","Sighthounds such as Afghans have naturally low stores of body fat, so they tend to be sensitive to anesthesia; breed experts recommend seeking out a sighthound-savvy veterinarian for surgical procedures. Like other deep-chested types of dogs, Afghan Hounds can experience bloat, a sudden and life-threatening swelling of the abdomen, and owners should educate themselves about its symptoms and what to do should bloat occur.",,,
Airedale Terrier,"The Airedale Terrier should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The Airedale has a short, wiry coat that needs relatively little maintenance. Weekly brushing keeps the coat looking good and has the additional advantage of removing dead hair that would otherwise be shed around the house. (Some people with dog allergies have found that they can share a living space with a well-brushed Airedale without suffering any symptoms.) If the weekly session turns up any mats, they should be broken up with the fingers and then teased apart with a comb. Full grooming ??where the dog is bathed, brushed, and stripped or clipped ??should be done three or four times a year, either by the owner or a professional groomer.","Terriers are generally known for their high energy levels. Given that the Airedale is the largest of all terriers, that energy must be channeled into safe outlets. Fortunately, Airedales love to play with other family members. A daily play session of moderate length, in addition to walks (or backyard time) several times a day, should be enough to satisfy the Airedale 's exercise requirements. Airedales play well with children, but interactions with toddlers and smaller children should be closely supervised. Airedales are rangy but strong; that strength, combined with a boisterous personality, can lead to mishaps.","Because of the Airedale 's size (he is a medium-sized dog, but the largest of the terrier breeds), strength, and rambunctiousness, obedience training is highly recommended. At a minimum, an Airedale should learn basic obedience commands such as come, sit, and stay. The breed 's intelligence and the fact that they bond closely with family members can make training easy. Owners and trainers should keep in mind that an intelligent dog is an easily bored dog, so varied training sessions will be more successful than repetitive ones. Also, an easily bored dog who is often left alone for long periods of time will tend to develop undesirable behaviors. It often helps to provide the dog with challenging toys that will keep him happily occupied.","Airedales are generally healthy dogs, and responsible breeders will test for health concerns such as hip dysplasia, a malformation of the hip joint.  An Airedale 's ears should be checked regularly to remove foreign matter and avoid a buildup of wax, and his teeth should be brushed regularly.",,,
Akita,"The Akita should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior).Some breed experts recommend that Akitas aged 7 years and older be fed a ?œlight??or less calorie-dense diet as a defense against possible onset of kidney disease. ","Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times. It 's important to remember that some Akitas can be food-possessive, and should be given their food bowl or treats well away from other animals or children.","Akitas tend to be clean and have little ?œdoggy odor.??They don 't require extensive grooming, but their thick, luxurious double coat should be brushed at least once a week to look its best. Although Akitas shed only minimally most of the time, expect their dense undercoat to ?œblow??twice a year, where it will shed so profusely that it comes out in clumps all over your house. During this time it helps to brush the dog more frequently to get rid of the dead coat. The nails should also be trimmed regularly, as overly long nails can cause pain and problems for the dog. Remember also to brush the dog 's teeth often to ensure dental health.","The Akita is generally not a highly active breed but does require moderate exercise. A jog or brisk walk around the block at least once a day can meet the needs of most individuals of the breed. Akitas also enjoy playing energetically. Although they are large dogs ??males often weigh more than 100 pounds ??with sufficient daily exercise Akitas can do well in a relatively small home. They are hardy dogs bred to withstand the harsh outdoor conditions of northern Japan, but they were bred as housedogs and guardians as well as hunters, and adapt very well to life in the home.","Akitas are very intelligent and loyal but also have an independent, headstrong nature. As large and very powerful dogs, it is vital that they are trained consistently,  beginning in puppyhood. They are instinctive guardians, so it 's especially important that Akitas have early and extensive socialization when young. They must learn to accept a wide variety of strangers and not perceive them as a threat. Because of their independence and strong prey drive, they should never be off lead in an unsecured area. Akitas tend to be aggressive toward other dogs, particularly of the same sex, and extreme caution should be used in canine interactions.",,,
Alaskan Malamute,"The Alaskan Malamute should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The thick, waterproof double coat of the Alaskan Malamute is beautifully adapted to harsh Arctic life, but it requires constant upkeep. A Malamute should be brushed every day with a pin brush and metal comb, all the while checking for mats, which can harbor fungus, and hot spots, which can become infected. Twice a year, during shedding season, an undercoat rake should be added to the regimen. Show Malamutes are often bathed weekly, but a pet Malamute can go six to eight weeks between baths.  Conditioner can be used, in moderation, if the coat feels dry. As with all breeds, the Malamute 's nails should be trimmed regularly.","While the Malamute was not bred for racing, he was bred to work. A strong, athletic dog with tremendous endurance, designed to carry heavy loads, a Mal requires daily exercise. Romping in a well-fenced yard or other enclosed space will suffice, but Malamutes also enjoy hiking, running, and swimming with their owners. And should the owner have sufficient time and interest, Malamutes often take part in agility and obedience trials, weight-pulling competitions, backpacking (yes, you can buy a backpack for your dog), recreational or competitive sledding, and skijoring (pulling a person who is on skis).","Socialization and obedience training are necessary in order to prevent a Malamute from becoming pushy with children and other pets, or dominant over adults he or she doesn 't respect. Malamutes are highly intelligent but also independent and willful, often to the point of stubbornness. While fairness and patience can yield a devoted, trustworthy companion, there are certain behaviors that may be impossible to train out of a Mal, such as digging, so any yard fencing must continue into the ground. And Malamutes are not especially suited to be guard dogs because they tend to be friendly with everyone they meet.","A responsible breeder will screen breeding stock for health conditions such as hip dysplasia (a malformation of the hip joint that is the most common skeletal condition in dogs), elbow dysplasia, thrombopathia, chondrodysplasia (?œdwarfism??, hypothyroidism, inherited polyneuropathy, von Willebrand 's disease, and day blindness. As with all breeds, an Alaskan Malamute 's ears should be checked regularly to remove foreign matter and avoid a buildup of wax, and his teeth should be brushed regularly.",,,
American English Coonhound,"The American English Foxhound should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Remember that a working dog requires a very different food than one who lives a more sedentary life. Coonhounds are prone to getting overweight as they age, so be mindful of your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","Good nutrition influences the shine and texture of your American English Coonhound 's coat from the inside, but he will still need regular grooming to be at his best. His short, hard, protective coat requires a minimum of care. Using a shedding tool or a grooming mitt with rubber nubs at least weekly will help to keep his shedding to a minimum. This also distributes skin oils down the hair shaft, giving his coat a natural shine. His nails should be trimmed once a month, and a bath every four to six weeks will keep the coat and skin clean and healthy, and reduce doggy odor. His ears should be checked weekly and gently cleaned of any excess wax or debris.","With his high energy level and innate desire to be part of a pack, whether human or canine, the American English is an ideal candidate as a companion for someone who is an active runner, biker, or hiker. He needs a lot of exercise to stay healthy and happy. The breed has a very strong prey drive, so should never be allowed off leash in an uncontrolled situation, as he will not be able to resist the instinct to follow an interesting scent he detects with his sensitive nose. He requires a fenced area where he can run freely. Chasing a ball in his backyard can be an excellent source of exercise.","Following through with proper early socialization of your American English Coonhound is paramount, or your puppy may become possessive over food or toys in your home. The key to a well-adjusted, mentally healthy dog is to have him experience positive interactions with many different kinds of people in a variety of places and situations. Like many hounds, English dogs have a split personality: tenacious, tireless, and stubborn on the trail, but at home these spirited hunters are sweetly amiable companions. Still, the breed 's limitless prey drive and energy, the patience it takes to train them for anything other than coon hunting, and their tendency to bark in a loud, ringing voice make them most appropriate for experienced dog owners.","Still bred primarily as a hard-working dog, which must have an efficient physical condition, the American English Coonhound is generally a healthy breed. Responsible breeders will screen their stock for health conditions such as hip and elbow dysplasia as well as eye disorders such as progressive retinal atrophy and cataracts. His ears should be checked regularly to remove excess wax and debris. Like other large and deep-chested breeds, he can experience bloat, a sudden, life-threatening stomach condition. Owners should learn the signs of bloat and what to do should it occur.",,,
American Eskimo Dog,"The American Eskimo Dog should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The American Eskimo Dog 's fluffy, white double coat ??a short, dense undercoat below the longer outer coat ??is surprisingly easy to keep clean. However, Eskies shed almost constantly. A thorough brushing two or three times a week will remove dead hairs before they can be shed, as well as help to prevent matting. The oil on an Eskie 's fur prevents dirt from adhering, so a good brushing is usually enough to remove it. It is OK to bathe  an Eskie occasionally, but doing so more than once every few months can make his skin dry and irritated. As with all breeds, the Eskie 's nails should be trimmed regularly.","An active dog with lots of energy, the Eskie is also quick and curious, requiring lots of exercise and mental challenges. An Eskie who is left alone or who doesn 't get enough exercise can quickly become destructive. A securely fenced yard and an assortment of toys will help provide good exercise and stimulation to keep an Eskie out of trouble. He shouldn 't just be left out in the yard by himself all day, however. Despite his warm coat, the Eskie is an indoor dog, and he forms strong bonds with his people and is happiest interacting with them. Once they pass middle age, Eskies often become more sedate.","As with all breeds, early socialization and puppy training classes are recommended. Fortunately, the American Eskimo Dog is among the most trainable of all breeds. Back when traveling circuses, vaudeville troupes, and Wild West shows crisscrossed the map, Eskies were mainstays of trained-dog acts. They are highly intelligent and eager to please. They learn new commands quickly ??sometimes just by watching other dogs. An Eskie craves companionship and interaction with his owners and will tend to develop problem behaviors if left alone too often for long periods of time.","A responsible breeder will test his or her breeding stock for health issues such as hip dysplasia and progressive retinal atrophy. As with all breeds, an Eskie 's ears should be checked weekly to remove debris and avoid a buildup of wax, and the dog 's teeth should be brushed regularly.",,,
American Foxhound,"The American Foxhound should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Foxhounds love to eat and can be prone to getting overweight, so to prevent obesity it can be better to feed an adult two measured feedings per day rather than allowing him to free-feed all day. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The American Foxhound 's handsome coat is short and lies close to the body. The coat 's hard texture protects the dog from the underbrush he courses through while on the hunt?”and the coat also happens to be extremely easy to take care of. A short, once-a-week session with a bristle brush, a rubber grooming mitt or tool, or a hound glove is usually all that is needed. The Foxhound should not need to be bathed unless he gets into something particularly messy while outdoors. As with all breeds, the American Foxhound?˜s nails should be trimmed regularly.","Foxhounds were bred specifically to spend long hours chasing after prey. That 's why an American Foxhound needs at least a solid hour or two of exercise every day?”if he doesn 't get it, he may become bored and destructive. If they get all the activity they need, they can fit in pretty much anywhere. While they are happiest living indoors with their human family, American Foxhounds make great companions on long walks or hikes. Because they were bred to hunt and chase animals and to follow a scent, they should only be allowed loose in areas that are securely fenced, and any walks must be taken on a leash. The breed also exercises mind and body by participating in canine sports such as tracking, rally, coursing ability tests, and other activities that can be enjoyed together by dog and owner.","American Foxhounds are easygoing and amiable. They also can be stubborn and independent, however, which can make training an exercise in patience. Obedience classes are recommended, and as scenthounds, it may never be safe to have them off-leash, because their noses can lead them into trouble. Foxhounds raised in the home tend to be wonderfully mild-tempered, devoted, and easygoing companions, and they get along well with children. Even so, owners will need patience and persistence when training them, and hounds can develop unwanted behaviors if not given enough exercise.","The American Foxhound is typically a healthy breed, and a responsible breeder will test breeding stock for health conditions such as hip dysplasia and thrombocytopathy, which is a blood disorder.  Long-eared breeds can develop ear infections, and a Foxhound 's ears should be checked regularly to remove foreign matter and avoid a buildup of wax. Regular brushing will keep the hound 's teeth healthy as well.",,,
American Hairless Terrier,"The American Hairless Terrier should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","The American Hairless Terrier actually comes in two varieties: coated and hairless. For either type, grooming needs are minimal. For the hairless variety, there is little maintenance involved other than keeping the ears clean and making sure the dog is protected from sunburn. The variety with a short, shiny coat is almost as carefree. They hardly shed, so all that 's called for is a quick session with a soft bristle brush once a week, and an occasional bath as needed. As with all breeds, the American Hairless Terrier?˜s nails should be trimmed regularly.","The American Hairless Terrier has only moderate exercise needs. They have to go outside several times a day, of course, but brief daily sessions in a fenced-in yard or on regular walks will generally be all they require. They enjoy activity but are also quite happy to curl up on the couch next to their owner. The breed is friendly and happy to play with people or other dogs. Thanks to their high trainability, they can do well in a wide range of canine activities such as obedience, rally, and agility competitions.","As with all breeds, early socialization and puppy training classes are recommended. Gently exposing the puppy to a wide variety of people, places, and situations between the ages of about 7 weeks and 4 months will help him develop into a well-adjusted, well-mannered adult. Puppy training classes help owners learn how to recognize and avert any behavior problems and enhance the bond between the puppy and owner. The American Hairless Terrier is very intelligent and eager to please, so training is usually an easy and enjoyable activity.","Responsible breeders screen for health conditions such as hip dysplasia, cardiac conditions, luxating patella (a dislocated kneecap similar to what is called a ""rick knee??in humans), and Legg-Calve-Perthes disease, a hip condition that can be corrected with surgery. Skin problems are quite rare in the breed. As with all breeds, an American Hairless Terrier 's ears should be checked regularly to remove foreign matter and avoid a buildup of wax, and the teeth should be brushed regularly.",,,
American Leopard Hound,"The American Leopard Hound should do well on a high-quality dog food, whether commercially manufactured or home-prepared with your veterinarian 's supervision and approval. Any diet should be appropriate to the dog 's age (puppy, adult, or senior). Some dogs are prone to getting overweight, so watch your dog 's calorie consumption and weight level. Treats can be an important aid in training, but giving too many can cause obesity. Learn about which human foods are safe for dogs, and which are not. Check with your vet if you have any concerns about your dog 's weight or diet. Clean, fresh water should be available at all times.","Grooming can be a wonderful bonding experience for you and your dog. American Leopard Hounds have a smooth, dense, double coat; the outer coat is rough and the undercoat is fine and wooly. Beyond regular weekly brushing, the occasional bath will keep them clean and looking their best. Their strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting and cracking. Their ears should be checked regularly to avoid a buildup of wax and debris which can result in an infection. Teeth should be brushed regularly.","American Leopard Hounds are an energetic breed. Options for exercise include play time in the backyard, preferably fenced, or walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or teaching them new tricks. Training for dog sports like agility, obedience and rally can also be a great way to give your dog exercise. As a hunting breed with energy to spare, American Leopards would do best as part of an active, rural family.","American Leopard Hounds are eager to please and, therefore, easy to train. Bred to be a hunting dog, they are known for their stamina, focus, and agility. As a scenthound, they also tend to follow their nose and wander off, so it is important for them to be trained to listen and react to commands.","Most American Leopard Hounds are healthy dogs. Prospective American Leopard Hound owners should work with a responsible breeder, who can educate them about specific health concerns within the breed. Good breeders utilize genetic testing of their breeding stock to reduce the likelihood of disease in their puppies.",,,
