breed,temper,popularity,height,weight,life_min,size,life_max,GROOMING - Grooming Frequency (%),GROOMING - Shedding (%),EXERCISE - Energy Level (%),TRAINING - Trainability (%),TRAINING - Temperament/Demeanor (%)
Affenpinscher,"Confident, Famously Funny, Fearless",149,9-11.5 inches,7-10 pounds,12,S,15,60%,60%,60%,80%,100%
Afghan Hound,"Independent, Sweet",113,25-27 inches,50-60 pounds,12,L,18,80%,20%,80%,20%,20%
Airedale Terrier,"Friendly, Clever, Courageous",55,23 inches,50-70 pounds,11,L,14,60%,40%,60%,100%,80%
Akita,"Courageous, Dignified, Profoundly Loyal",46,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10,L,13,80%,60%,80%,100%,60%
Alaskan Malamute,"Affectionate, Loyal, Playful",59,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10,L,14,60%,,80%,40%,80%
American English Coonhound,"Sweet, Mellow, Sociable",170,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11,M,12,20%,40%,80%,60%,60%
American Eskimo Dog,"Playful, Perky, Smart",122,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13,S,15,40%,60%,80%,100%,100%
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",189,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11,L,13,20%,60%,80%,40%,80%
American Hairless Terrier,"Energetic, Alert, Curious",106,12-16 inches,12-16 pounds,14,S,16,,,,,
American Leopard Hound,"Sociable, Energetic, Intelligent",-,21-27 inches,45-70 pounds,12,M,15,40%,60%,80%,100%,60%
American Staffordshire Terrier,"Confident, Smart, Good-Natured",81,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12,L,16,20%,40%,60%,60%,60%
American Water Spaniel,"Eager, Happy, Charming",156,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10,M,14,60%,20%,60%,100%,80%
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",84,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11,L,13,40%,60%,60%,40%,40%
Appenzeller Sennenhund,"Playful, Charming, Inquisitive",49,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8,L,10,40%,80%,100%,20%,40%
Australian Cattle Dog,"Alert, Curious, Pleasant",54,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12,M,16,20%,80%,100%,20%,40%
Australian Kelpie,"Loyal, Alert, Intelligent",-,17-20 inches,31?44 pounds,10,M,13,40%,80%,80%,100%,60%
Australian Shepherd,"Smart, Work-Oriented, Exuberant",16,"20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12,M,15,40%,60%,80%,100%,60%
Australian Stumpy Tail Cattle Dog,"Agile, Intelligent, Self-Confident",7,No more than 10 inches,4-6 pounds,10,S,18,40%,40%,80%,80%,60%
Australian Terrier,"Affectionate, Courageous, Spirited",136,10-11 inches,15-20 pounds,11,S,15,40%,20%,80%,60%,80%
Azawakh,"Loyal, Independent, Deeply Affectionate",-,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12,M,15,,,,,
Barbet,"Friendly, Bright, Sweet-Natured",-,19-24.5 inches,35-65 pounds,12,M,14,40%,20%,60%,60%,80%
Basenji,"Independent, Smart, Poised",88,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13,M,14,20%,40%,80%,40%,40%
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",-,12.5-15.5 inches,27-35 pounds,12,M,-,40%,60%,60%,20%,100%
